298793064594510, 263093335773079, 376515029011499 @ -14, 59, -89
337669218265618, 218879644691028, 94758507317114 @ -60, -80, 532
226895012232653, 123459105544245, 213502199200302 @ 160, 303, 104
300501970298399, 314329447278049, 467279541164790 @ -32, 34, -91
388143561918162, 279175111435661, 308798092369721 @ -134, 61, 61
310217205692440, 158888488109515, 131903636341367 @ 78, 307, 265
266233805409781, 440523179923425, 421743441792296 @ 51, -263, -222
213923153356007, 229953103066777, 150547540977934 @ 182, 83, 236
357985867459403, 308234699950145, 367353953144422 @ -100, 7, -46
259917339135601, 262751871330105, 458518817923901 @ 87, 17, -389
196416418373289, 465721136899543, 301154770526496 @ 74, -116, 101
226531126192598, 477222227739431, 346509061761549 @ 40, -121, 59
239792808457531, 327388944149685, 2386999558286 @ 127, -113, 536
274606642683628, 237966533697420, 171489940195602 @ 66, 60, 188
308937573628571, 171347172023113, 121622587068364 @ 179, 281, 341
195608890992639, 199419888200921, 274078725032702 @ 74, 161, 130
344037792517118, 276600737986546, 354154373719482 @ -80, 70, 20
290895471114135, 285929752284171, 325134693007352 @ -19, 60, 55
314298879681047, 245105638724817, 243354033407654 @ 11, -30, -107
286820303633178, 327021654847180, 138476507295537 @ 20, -80, 263
294143047788743, 181783732406873, 178129991693966 @ 220, 191, -38
394266720191653, 398188378647495, 385836911173052 @ -157, -145, -106
329200839733968, 195333634902240, 134018463668737 @ 116, -30, 189
367172093410368, 407464667055975, 195632852928727 @ -176, -645, 35
329325636883521, 189392701755929, 157096184446532 @ 47, 113, -50
322965401405323, 278263562849579, 279697002884522 @ -45, 8, 10
377290392915826, 200328151799814, 525071510376029 @ -114, 160, -131
356565204663751, 314120153893849, 254503860451726 @ -111, -101, 12
308328090624911, 231729398318551, 151834221462478 @ 13, 43, 216
518365608787431, 369781815641696, 465590281056136 @ -299, -56, -142
